"group","occasions_drawn","n_occasions","n_items","cor_ICC_min","cor_ICC_mean","cor_ICC_max","min_diff_ICC_min","mean_diff_ICC_mean","max_diff_ICC_max","RMSE_ICC_min","RMSE_ICC_mean","RMSE_ICC_max","sd_ICC_min","sd_ICC_mean","sd_ICC_max","rel_min","rel_mean","rel_max","negICC_min","negICC_mean","negICC_max","estimationProbNeg_min","estimationProbNeg_mean","estimationProbNeg_max","estimationProbPos_min","estimationProbPos_mean","estimationProbPos_max","N_rel_min","N_rel_mean","N_rel_max","N_valid_ICC.z_min","N_valid_ICC.z_mean","N_valid_ICC.z_max"
"medium NED","random",40,5,-0.211,0.275,0.665,-0.342,-0.066,0.49,0.072,0.102,0.139,0.052,0.08,0.124,0,0.185,0.666,0,0.349,3,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",40,10,-0.095,0.418,0.781,-0.274,-0.019,0.47,0.046,0.068,0.101,0.051,0.071,0.103,0,0.327,0.66,0,0.001,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",40,15,0.022,0.572,0.886,-0.254,-0.003,0.371,0.028,0.046,0.078,0.039,0.055,0.083,0,0.129,0.576,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",50,5,-0.08,0.334,0.687,-0.316,-0.065,0.468,0.072,0.093,0.126,0.05,0.069,0.106,0,0.142,0.609,0,0.161,2,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",50,10,-0.042,0.495,0.801,-0.273,-0.017,0.442,0.036,0.057,0.097,0.046,0.062,0.092,0,0.301,0.652,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",50,15,0.167,0.695,0.925,-0.211,-0.002,0.246,0.02,0.034,0.059,0.031,0.046,0.063,0,0.069,0.5,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",60,5,0.015,0.386,0.603,-0.302,-0.065,0.373,0.073,0.086,0.11,0.05,0.061,0.09,0,0.098,0.545,0,0.047,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",60,10,0.217,0.573,0.816,-0.246,-0.016,0.374,0.035,0.047,0.078,0.044,0.055,0.08,0,0.243,0.598,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","random",60,15,0.352,0.848,0.966,-0.199,-0.001,0.209,0.011,0.021,0.046,0.029,0.039,0.051,0,0.019,0.329,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",14,5,-0.182,-0.182,-0.182,-0.384,-0.106,0.118,0.169,0.169,0.169,0.124,0.124,0.124,0.096,0.096,0.096,5,5,5,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",14,10,-0.106,-0.106,-0.106,-0.352,-0.038,0.263,0.136,0.136,0.136,0.125,0.125,0.125,0.488,0.488,0.488,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",14,15,-0.187,-0.187,-0.187,-0.325,-0.028,0.174,0.118,0.118,0.118,0.106,0.106,0.106,0.455,0.455,0.455,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",20,5,-0.129,-0.129,-0.129,-0.345,-0.094,0.122,0.146,0.146,0.146,0.105,0.105,0.105,0.099,0.099,0.099,2,2,2,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",20,10,0.091,0.091,0.091,-0.242,-0.023,0.248,0.112,0.112,0.112,0.11,0.11,0.11,0.469,0.469,0.469,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",20,15,0.022,0.022,0.022,-0.21,-0.012,0.167,0.086,0.086,0.086,0.08,0.08,0.08,0.191,0.191,0.191,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",30,5,0.073,0.073,0.073,-0.265,-0.067,0.125,0.118,0.118,0.118,0.096,0.096,0.096,0.242,0.242,0.242,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",30,10,0.218,0.218,0.218,-0.199,-0.011,0.191,0.1,0.1,0.1,0.103,0.103,0.103,0.566,0.566,0.566,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",30,15,0.247,0.247,0.247,-0.174,0.004,0.125,0.071,0.071,0.071,0.073,0.073,0.073,0.287,0.287,0.287,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",40,5,0.108,0.108,0.108,-0.258,-0.069,0.056,0.105,0.105,0.105,0.077,0.077,0.077,0.157,0.157,0.157,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",40,10,0.285,0.285,0.285,-0.174,-0.014,0.149,0.074,0.074,0.074,0.076,0.076,0.076,0.392,0.392,0.392,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",40,15,0.404,0.404,0.404,-0.149,0.004,0.099,0.049,0.049,0.049,0.053,0.053,0.053,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",50,5,0.436,0.436,0.436,-0.214,-0.057,0.051,0.088,0.088,0.088,0.076,0.076,0.076,0.292,0.292,0.292,1,1,1,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",50,10,0.482,0.482,0.482,-0.198,-0.011,0.12,0.065,0.065,0.065,0.075,0.075,0.075,0.514,0.514,0.514,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",50,15,0.616,0.616,0.616,-0.177,0.005,0.068,0.044,0.044,0.044,0.056,0.056,0.056,0.298,0.298,0.298,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",60,5,0.442,0.442,0.442,-0.19,-0.061,0.039,0.083,0.083,0.083,0.063,0.063,0.063,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",60,10,0.548,0.548,0.548,-0.138,-0.013,0.114,0.051,0.051,0.051,0.06,0.06,0.06,0.374,0.374,0.374,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",60,15,0.758,0.758,0.758,-0.115,0.002,0.072,0.028,0.028,0.028,0.043,0.043,0.043,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",70,5,0.433,0.433,0.433,-0.167,-0.064,0.019,0.081,0.081,0.081,0.055,0.055,0.055,0.031,0.031,0.031,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",70,10,0.647,0.647,0.647,-0.079,-0.015,0.107,0.04,0.04,0.04,0.049,0.049,0.049,0.193,0.193,0.193,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
"medium NED","by order",70,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,36,36,36,36,36,36
